CoachName,coach_id
reggie_minton,1
bob_huggins,2
wimp_sanderson,3
james_oliver,4
davey_whitney,5
freddie_goss,6
ed_tapscott,7
kevin_cantwell,8
lute_olson,9
bob_weinhauer,10
mike_newell,11
eddie_sutton,12
nelson_catalina,13
les_wothke,14
sonny_smith,15
marvin_vanover,16
howard_jackson,17
al_brown,18
jim_haller,19
cy_mcclairen,20
bobby_dye,21
gary_williams,22
john_kuester,23
john_weinert,24
dick_versace,25
mark_reiner,26
mike_cingiser,27
charles_woollum,28
joe_sexson,29
ladell_andersen,30
dick_parfitt,31
dick_kuchen,32
jerry_smith,33
nick_macarchuk,34
tommy_canterbury,35
tommy_gaither,36
hal_wissel,37
murray_arnold,38
bob_hallberg,39
tony_yates,40
les_robinson,41
cliff_ellis,42
kevin_mackey,43
tony_relvas,44
tom_apke,45
tony_mcandrews,46
wayne_szoke,47
dom_perno,48
tom_miller,49
willie_reed,50
george_mcquarn,51
paul_cormier,52
bobby_hussey,53
don_donoher,54
ron_rainey,55
joe_dean_davidson,56
joey_meyer,57
don_sicko,58
gary_garner,59
eddie_burke,60
mike_krzyzewski,61
jim_satalin,62
rick_samuels,63
max_good,64
jim_boyce,65
jerry_krause,66
charlie_harrison,67
barry_dowd,68
dick_walters,69
tom_green,70
terry_o'connor,71
norm_sloan,72
willie_booker,73
joe_williams,74
thomas_penders,75
tiny_grant,76
jene_davis,77
gerry_gimelstob,78
frank_kerns,79
joe_harrington,80
john_thompson_jr,81
hugh_durham,82
tom_pugliese,83
mark_slonaker,84
bobby_cremins,85
jay_hillock,86
fred_hobdy,87
dick_danford,88
jack_phelan,89
frank_mclaughlin,90
larry_little,91
dick_berg,92
george_blaney,93
guy_lewis,94
gene_iba,95
a_b_williamson,96
bill_trumbo,97
wayne_ballard,98
willie_little,99
lou_henson,100
bob_donewald,101
bob_knight,102
dave_schellhase,103
pat_kennedy,104
george_raveling,105
johnny_orr,106
paul_covington,107
bob_wenzel,108
lou_campanelli,109
larry_brown,110
jack_hartman,111
jim_mcdonald,112
joe_b_hall,113
lefty_ervin,114
butch_van_breda_kolff,115
pat_foster,116
tom_schneider,117
ron_palmer,118
paul_lizzo,119
andy_russo,120
denny_crum,121
ed_goorjian,122
mark_amatucci,123
gene_sullivan,124
dale_brown,125
skip_chappelle,126
gordon_chiesa,127
matt_furjanic,128
rick_majerus,129
rick_huckabay,130
lefty_driesell,131
ron_gerlufsen,132
glenn_duhon,133
howie_evans,134
dana_kirk,135
bill_bibb,136
jerry_peirson,137
